Exercise_Freq,Diet_Quality,Stress_Level,Sleep_Hours,Cluster,PCA1,PCA2,Cluster_Label,short_descriptions
0,0,9,8.5,1,3.2489525293325023,-3.4181368968210037,Least Active & High Stress sleep Varied with Mixed diet,"Least Active group with low physical activity (≈0–4 days/week), high stress levels, variable sleep patterns, and a mixed diet quality."
2,2,2,5.9,2,-3.6623948633331445,-1.0879768088068815,Inactive & Low-Stress Consistent in sleep diet is better ,"Inactive individuals with minimal exercise, low to moderate stress levels, consistent sleep duration, and relatively better diet quality."
7,3,3,4.8,0,-2.4107861355581006,3.833492872558795,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
4,3,9,6.6,1,3.4296330687451544,0.5386894706491012,Least Active & High Stress sleep Varied with Mixed diet,"Least Active group with low physical activity (≈0–4 days/week), high stress levels, variable sleep patterns, and a mixed diet quality."
4,3,6,6.1,0,0.4315584754695765,0.6929087372317966,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
7,2,1,5.8,0,-4.395346095176143,3.9566880019885438,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
2,2,2,5.8,2,-3.66288464872617,-1.0891184950469306,Inactive & Low-Stress Consistent in sleep diet is better ,"Inactive individuals with minimal exercise, low to moderate stress levels, consistent sleep duration, and relatively better diet quality."
7,2,7,6.8,0,1.6008030913750124,3.648249468823153,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
7,1,6,6.3,0,0.607438239631735,3.701010072057852,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
2,2,1,5.6,2,-4.662406108282371,-1.0380926349327153,Inactive & Low-Stress Consistent in sleep diet is better ,"Inactive individuals with minimal exercise, low to moderate stress levels, consistent sleep duration, and relatively better diet quality."
2,0,10,9.7,1,4.359804019747031,-1.4607469887582645,Least Active & High Stress sleep Varied with Mixed diet,"Least Active group with low physical activity (≈0–4 days/week), high stress levels, variable sleep patterns, and a mixed diet quality."
4,1,2,7.7,0,-3.5395205853386114,0.9347322511310963,Very Active & Low-Stress sleep Moderate to High with mixed diet,"Very Active individuals with high exercise frequency (≈5–7 days/week), low stress levels, consistent moderate to high sleep duration, and a mixed-quality diet."
